受注ID,受注番号,受注日,定期受注番号,顧客番号,メールアドレス,広告URLグループ名,顧客購入回数,購入商品,購入オファー,広告主名,購入URL,ランディングページ,小計,消費税,送料,合計,支払い合計,決済方法,定期ステータス,定期回数,定期間隔,配送先郵便番号,配送先都道府県,配送先市区町村,配送先住所,配送先氏名
ORD-202501-001,20250115-001,2025/01/15 10:30:00,SUB-2025-001,CUST-001,test-user01@sample.com,Meta_サンプルクリームA_冬,1,サンプルクリームA 50g,初回限定50%OFF,サンプル社A,https://sample-shop.test/lp/cream-a-winter,LP-クリームA冬キャンペーン,4980,498,0,5478,5478,クレジットカード,有効,1,30日,100-0001,東京都,千代田区,サンプル町1-1-1,テスト太郎
ORD-202501-002,20250115-002,2025/01/15 11:45:00,,CUST-002,test-user02@sample.com,Meta_サンプルサプリB_リピーター,3,サンプルサプリB 60粒,リピーター限定20%OFF,サンプル社B,https://sample-shop.test/lp/supple-b-repeat,LP-サプリBリピーター,6800,680,0,7480,7480,クレジットカード,無効,0,,153-0001,東京都,目黒区,テスト町1-2-3,テスト花子
ORD-202501-003,20250115-003,2025/01/15 14:20:00,SUB-2025-002,CUST-003,test-user03@sample.com,Meta_サンプルクリームA_冬,1,サンプルクリームA 50g×2個セット,初回限定セット割引,サンプル社A,https://sample-shop.test/lp/cream-a-winter,LP-クリームA冬キャンペーン,8960,896,0,9856,9856,代金引換,有効,1,30日,530-0001,大阪府,大阪市北区,サンプル1-1-1,テスト一郎
ORD-202501-004,20250115-004,2025/01/15 16:00:00,,CUST-004,test-user04@sample.com,Google_サンプルサプリB_新規,1,サンプルサプリB 30粒,新規限定トライアル,サンプル社B,https://sample-shop.test/lp/supple-b-trial,LP-サプリBトライアル,2980,298,500,3778,3778,コンビニ後払い,無効,0,,460-0001,愛知県,名古屋市中区,テスト1-1-1,テスト美咲
ORD-202501-005,20250115-005,2025/01/15 18:30:00,SUB-2025-001,CUST-001,test-user01@sample.com,Meta_サンプルクリームA_冬,2,サンプルクリームA 50g,定期2回目,サンプル社A,https://sample-shop.test/lp/cream-a-winter,LP-クリームA冬キャンペーン,7980,798,0,8778,8778,クレジットカード,有効,2,30日,100-0001,東京都,千代田区,サンプル町1-1-1,テスト太郎
ORD-202501-006,20250116-001,2025/01/16 09:00:00,,CUST-005,test-user05@sample.com,Meta_サンプル美容液C_美容,1,サンプル美容液C 30ml,初回限定40%OFF,サンプル社C,https://sample-shop.test/lp/serum-c-beauty,LP-美容液C,5980,598,0,6578,6578,クレジットカード,無効,0,,810-0001,福岡県,福岡市中央区,テスト1-1-1,テスト恵子
ORD-202501-007,20250116-002,2025/01/16 10:15:00,SUB-2025-003,CUST-006,test-user06@sample.com,Meta_サンプルサプリB_定期,1,サンプルサプリB 60粒,定期初回特別価格,サンプル社B,https://sample-shop.test/lp/supple-b-subscription,LP-サプリB定期,4980,498,0,5478,5478,クレジットカード,有効,1,30日,060-0001,北海道,札幌市中央区,サンプル北1-1-1,テスト健太
ORD-202501-008,20250116-003,2025/01/16 12:30:00,,CUST-007,test-user07@sample.com,,5,サンプルクリームA 50g,通常購入,サンプル社A,https://sample-shop.test/shop/cream-a,,9960,996,0,10956,10956,クレジットカード,無効,0,,730-0001,広島県,広島市中区,テスト町1-1-1,テスト由美
ORD-202501-009,20250116-004,2025/01/16 14:45:00,SUB-2025-002,CUST-003,test-user03@sample.com,Meta_サンプルクリームA_冬,2,サンプルクリームA 50g×2個セット,定期2回目,サンプル社A,https://sample-shop.test/lp/cream-a-winter,LP-クリームA冬キャンペーン,8960,896,0,9856,9856,代金引換,有効,2,30日,530-0001,大阪府,大阪市北区,サンプル1-1-1,テスト一郎
ORD-202501-010,20250116-005,2025/01/16 17:00:00,,CUST-008,test-user08@sample.com,Meta_サンプル美容液C_美容,1,サンプル美容液C 30ml＋クリームA 50gセット,新規限定セット,サンプル社C,https://sample-shop.test/lp/beauty-set,LP-美容セット,12800,1280,0,14080,14080,クレジットカード,無効,0,,980-0001,宮城県,仙台市青葉区,テスト中央1-1-1,テスト麗華
ORD-202501-011,20250117-001,2025/01/17 08:30:00,SUB-2025-004,CUST-009,test-user09@sample.com,Google_サンプルサプリB_定期,1,サンプルサプリB 60粒×3個セット,定期初回まとめ買い,サンプル社B,https://sample-shop.test/lp/supple-b-bulk,LP-サプリBまとめ買い,14400,1440,0,15840,15840,クレジットカード,有効,1,60日,220-0001,神奈川県,横浜市西区,テストみらい1-1-1,テスト次郎
ORD-202501-012,20250117-002,2025/01/17 10:00:00,,CUST-002,test-user02@sample.com,Meta_サンプルサプリB_リピーター,4,サンプルサプリB 60粒,リピーター限定20%OFF,サンプル社B,https://sample-shop.test/lp/supple-b-repeat,LP-サプリBリピーター,6800,680,0,7480,7480,クレジットカード,無効,0,,153-0001,東京都,目黒区,テスト町1-2-3,テスト花子
ORD-202501-013,20250117-003,2025/01/17 12:15:00,SUB-2025-003,CUST-006,test-user06@sample.com,Meta_サンプルサプリB_定期,2,サンプルサプリB 60粒,定期2回目,サンプル社B,https://sample-shop.test/lp/supple-b-subscription,LP-サプリB定期,7980,798,0,8778,8778,クレジットカード,有効,2,30日,060-0001,北海道,札幌市中央区,サンプル北1-1-1,テスト健太
ORD-202501-014,20250117-004,2025/01/17 14:30:00,,CUST-010,test-user10@sample.com,Meta_サンプル美容液C_美容,1,サンプル美容液C 30ml,初回限定40%OFF,サンプル社C,https://sample-shop.test/lp/serum-c-beauty,LP-美容液C,5980,598,0,6578,6578,コンビニ後払い,無効,0,,650-0001,兵庫県,神戸市中央区,テスト元町1-1-1,テスト美紀
ORD-202501-015,20250117-005,2025/01/17 16:45:00,,CUST-011,test-user11@sample.com,,1,サンプルクリームA 50g,通常購入,サンプル社A,https://sample-shop.test/shop/cream-a,,9960,996,500,11456,11456,代金引換,無効,0,,330-0001,埼玉県,さいたま市浦和区,テスト高砂1-1-1,テスト太一
